Mean,S.D1,Variance,Kurtotis1,Skew1,Entrophy1,Class
3.79497843,621.2536484,192978.0478,301.9775297,481.0780973,57.11138855,0
3.705423231,605.5763535,183361.3599,301.8945309,480.8795191,57.41967882,0
9.583475595,1437.46608,1033154.366,250.4858932,436.3109974,53.83044457,0
5.416014547,839.7312607,352574.2951,260.7034462,447.5053935,57.68711311,0
5.412494921,836.1332008,349559.3647,269.2368087,452.6432455,56.26873224,0
10.20110432,1558.026393,1213723.12,256.0381135,440.6068613,58.46673137,0
3.415376306,554.9567045,153988.4719,282.2950996,465.315492,58.48108283,0
3.485756147,576.1072178,165949.7632,267.6533278,455.0581224,55.63071786,0
3.463907524,575.1456794,165396.2763,309.7726698,487.195517,56.85148456,0
3.399650339,556.7710898,154997.0232,300.1218469,479.3419132,56.94002349,0
3.529243077,586.4786211,171978.5865,332.8526148,503.9260825,52.89894395,0
3.535859563,577.7241815,166882.6149,304.2112692,482.5699807,57.20285021,0
2.871423392,493.8896918,121963.5139,336.8582986,507.6214142,55.92537263,0
0.588908781,100.8487342,5085.233593,332.1170661,503.8895262,56.72557073,0
0.403051859,69.01036214,2381.215041,330.9330851,501.8182166,56.03484995,0
1.350923511,236.2795155,27914.00473,364.6611591,526.6741695,57.59072154,0
1.282695131,224.2702707,25148.57717,359.6395392,522.0258516,58.21844005,0
0.308260657,41.18505017,848.1041788,195.3002748,385.5237602,70.94647641,0
0.821624353,144.2835651,10408.87358,406.7782931,551.5202718,52.24394822,0
3.385486094,560.364205,157004.0211,297.4755026,479.1230145,55.95825625,0
0.210513875,36.98810902,684.0601044,368.1041695,528.5806089,57.18942482,0
0.248292947,43.5017858,946.2026839,358.934182,523.1436177,56.85409177,0
0.612028373,106.4127111,5661.832545,350.870271,517.4176164,57.2574308,0
0.758815898,131.9881057,8710.430022,349.3891473,516.4614302,56.55927752,0
1.512942619,260.3583791,33893.24279,338.0670541,507.4490055,57.55593917,0
