Mean,S.D,Variance,Kurtotis,Skewness,Entrophy,Class
56.79364116,6372.660081,40610796.5,64.14378249,157.3007057,21.90449785,3
46161.46946,4538393.92,2.06E+13,64.24168966,151.3028841,2.652141446,3
7945.451215,968798.7242,9.39E+11,78.76573296,172.6327627,13.86589463,3
2956.141644,370948.5244,1.38E+11,77.52488248,172.7151934,17.3702215,3
1781.105252,216048.4673,46676940243,70.59069917,165.899648,17.80823279,3
1239.671775,141944.8741,20148347271,68.05629611,161.5500325,15.63777956,3
843.5894233,99692.56008,9938606535,69.48491587,163.9712443,17.58335855,3
600.1845259,67447.10659,4549112188,64.39222157,157.4662737,16.44316891,3
486.1102642,55032.82749,3028612102,63.69696398,157.0712926,17.39421442,3
363.810071,41446.7001,1717828949,65.29927557,158.8514625,17.47437031,3
321.1051846,36382.99797,1323722541,64.86166098,158.3308736,18.45699258,3
2639.874423,335263.2846,1.12E+11,83.97647743,179.5798285,16.63683149,3
7026.351967,859900.1042,7.39E+11,72.12258612,166.7702292,16.18849588,3
1519.890878,176492.7193,31149679976,68.76045192,162.6628049,16.26848995,3
643.6603958,72044.61638,5190426749,64.97923265,157.9282202,15.83885976,3
390.5071092,43723.51176,1911745480,65.39113233,158.2786615,16.88370223,3
241.760555,26714.51997,713665577.4,64.03909354,156.5890604,17.38504491,3
176.2520469,19312.50614,372972893.2,61.39294804,153.742113,17.94416164,3
130.6233831,14190.5582,201371941.9,61.09802047,153.1957596,18.26020784,3
102.2978917,11041.06548,121905127,59.26538787,151.154877,18.91724463,3
82.96233777,8970.667616,80472877.48,58.89737459,150.8757376,19.83563924,3
75.78808709,8191.780726,67105271.46,60.95314015,152.8611156,19.86317797,3
53168.76337,7064787.499,1.66371E+13,319.2645609,591.5142045,50.97936729,4
16557.84372,2207035.724,1.62367E+12,232.4653968,524.8320954,55.83916783,4
7891.383084,1153317.385,4.4338E+11,297.5631373,588.7469548,65.13592411,4
3607.039243,492191.8235,80750930372,289.2431896,576.2884057,58.37645426,4
43609.39108,5742569.534,1.09924E+13,269.0313216,552.9391974,49.03089907,4
16695.99557,2336249.04,1.81935E+12,282.4458035,574.5761073,52.15397245,4
10523.89429,1505433.195,7.55443E+11,282.4319544,576.8067735,61.08688127,4
3696.748221,508901.3189,86326850808,290.1937882,577.9820281,58.27859918,4
32228.19476,4441982.737,6.57707E+12,274.8079098,564.9430123,53.67064488,4
9471.571239,1326451.541,5.86491E+11,287.9301645,576.412149,60.03257934,4
4102.771719,543319.331,98398631810,252.8649766,542.7452438,60.10826425,4
2353.551019,310244.0197,32083783921,254.6292211,544.4285345,60.42980178,4
3990.807931,518930.7923,89763055746,244.4880098,532.796477,58.74285584,4
4114.423317,543178.6502,98347682009,263.0015572,549.7153057,59.09065837,4
6796.640301,884588.8482,2.60832E+11,244.5560849,532.1242724,60.86138541,4
7469.011489,970733.9916,3.14108E+11,244.2199207,532.1980071,59.24568102,4
7644.101012,999571.151,3.33047E+11,251.9663335,539.2483179,59.25791356,4
5398.413305,718628.6077,1.72142E+11,274.0192523,558.3555622,58.48065226,4
8643.68996,1121439.153,4.19209E+11,247.8871772,535.3179036,54.83493482,4
6089.690663,781296.2326,2.03475E+11,271.4007493,551.5457217,57.50979189,4
9398.324446,1176878,4.61681E+11,254.4212303,536.0812467,48.36035502,4
6335.236054,862442.24,2.47936E+11,271.4782693,559.7434746,58.42191518,4
3575.283508,529855.4602,93582269565,366.6612088,640.8406189,65.51061673,4
473.5699457,81632.33668,2221279464,495.9897394,752.0693531,77.09841801,4
486.9489369,83611.63165,2330301649,485.3467806,745.0365014,79.52577559,4
715.2025851,82562.39611,2272183084,199.1156731,481.454043,59.25689119,4
709.9170076,82866.90108,2288974432,204.1901283,487.2535877,61.00935074,4
948.0889471,108296.2481,3909359114,195.7770377,477.1462893,55.96200586,4
973.4597907,117197.9755,4578455153,216.9576509,502.1993104,60.43262645,4
1225.055622,145621.5089,7068541287,210.0550306,494.5456399,57.99341217,4
1266.214287,149857.2637,7485733157,206.7882179,491.0258912,58.80289305,4
422.9286599,53788.19018,964389800.8,241.7397103,529.1922532,67.76138693,4
450.7109554,59712.87983,1188542673,271.1134,556.5561162,70.68978908,4
2894.174402,377412.3482,47480026863,258.7568632,546.7376519,59.569272,4
25828.04327,3329881.223,3.69604E+12,258.8352858,542.7727561,54.03387192,4
751.3447282,90686.65431,2741356424,229.7786158,512.2155102,61.64641688,4
1071.504544,118554.9906,4685095264,186.7618625,464.7404206,50.44906919,4
1084.279218,127437.9135,5413473929,209.0247913,491.5362878,57.78764135,4
178.0125132,21518.33659,154346269.9,236.68226,518.1470045,69.44339672,4
53453.144,6615596.562,1.45887E+13,251.2248632,533.298603,38.11365778,4
16325.27693,2150526.622,1.54159E+12,267.8793876,554.8932231,53.25859676,4
6778.862745,841457.8171,2.36017E+11,235.8676473,521.4125462,53.42406299,4
31721.20514,3930102.503,5.14857E+12,233.8589876,517.7011738,46.98879255,4
9346.47552,1168845.659,4.554E+11,244.9243717,529.9696443,52.2742254,4
4342.558901,528032.9287,92939591262,222.6718404,507.1689788,53.21643023,4
2536.732033,303225.2779,30648523062,210.9367642,495.2577248,55.80408373,4
10317.53706,1342359.734,6.00643E+11,260.8178718,546.6036114,54.3028228,4
9832.074306,1237705.633,5.10638E+11,233.5343999,520.6099241,53.92815605,4
4524.065377,564367.0455,1.0617E+11,231.089561,518.0547605,56.50830575,4
27565.26675,3652866.875,6.67E+12,191.9288582,377.5540668,34.94747536,5
6046.391031,849819.2472,3.61E+11,193.8471972,386.9943482,39.25547572,5
2543.87623,341429.5956,58287084373,181.2579381,373.5351572,39.43797703,5
